date,new_cases,deaths
3/6/2020,1,0
3/7/2020,1,0
3/8/2020,1,0
3/9/2020,1,0
3/10/2020,4,0
3/11/2020,7,0
3/12/2020,7,0
3/13/2020,16,0
3/14/2020,11,0
3/15/2020,2,0
3/16/2020,7,0
3/17/2020,10,0
3/18/2020,18,0
3/19/2020,20,0
3/20/2020,32,1
3/21/2020,36,0
3/22/2020,51,1
3/23/2020,27,1
3/24/2020,54,0
3/25/2020,81,1
3/26/2020,0,0
3/27/2020,73,0
3/28/2020,202,9
3/29/2020,82,3
3/30/2020,44,3
3/31/2020,115,0
4/1/2020,160,12
4/2/2020,111,3
4/3/2020,305,8
4/4/2020,148,5
4/5/2020,284,7
4/6/2020,292,7
4/7/2020,247,3
4/8/2020,219,4
4/9/2020,201,1
4/10/2020,238,5
4/11/2020,275,3
4/12/2020,250,6
4/13/2020,424,5
4/14/2020,411,9
4/15/2020,408,5
4/16/2020,445,4
4/17/2020,372,7
4/18/2020,304,7
4/19/2020,324,5
4/20/2020,312,3
4/21/2020,260,5
4/22/2020,254,4
4/23/2020,132,5
4/24/2020,207,5
4/25/2020,296,7
4/26/2020,263,5
4/27/2020,233,6
4/28/2020,222,6
4/29/2020,227,5
4/30/2020,285,6
5/1/2020,0,0
5/2/2020,353,10
5/3/2020,102,4
5/4/2020,93,4
5/5/2020,120,3
5/6/2020,114,3
5/7/2020,57,3
5/8/2020,95,3
5/9/2020,89,6
5/10/2020,0,0
5/11/2020,144,3
5/12/2020,67,2
5/13/2020,52,2
5/14/2020,79,2
5/15/2020,64,1
5/16/2020,58,3
5/17/2020,114,2
5/18/2020,89,1
5/19/2020,34,3
5/20/2020,100,1
5/21/2020,86,2
5/22/2020,105,0
5/23/2020,68,1
5/24/2020,67,0
5/25/2020,34,1
5/26/2020,34,0
5/27/2020,48,1
5/28/2020,25,1
5/29/2020,54,1
5/30/2020,27,0
5/31/2020,31,1
6/1/2020,18,1
6/2/2020,24,1
6/3/2020,69,0
6/4/2020,48,1
6/5/2020,96,1
6/6/2020,74,1
6/7/2020,82,1
6/8/2020,73,1
6/9/2020,69,0
6/10/2020,66,1
6/11/2020,71,1
6/12/2020,73,0
